of,tren,sku,fecha_fin,oee,disponibilidad,rendimiento,ineficiencia,familia,marca,cerveza,envase,tipo_envase,cambios,mat_precio,par_tot,pnp,limpieza,idle,h_tot,hl,uds,maintenance_flag,tipo_cambio,ch_brand,ch_envase,ch_volume,ch_palet,ch_product,ch_cap,ch_primary,ch_secondary,par_tot_min,pnp_min,limpieza_min,idle_min
0000700097-1,19.0,3BNCPLB2,2025-11-28,0.6058883856080676,0.7033266387488248,0.8614608806598113,0.0974382531407572,130024PCTR0000,COPROVE,K013201,KR6BNCP3,LATA 1/3 SR.,NO,"BEER COPROVE 4,8º 33CL L B24SH P X",7.275277777777778,7.275277777777778,0.0,0.0,26.002222222222223,4679.15,1417923.0,1,Contenido,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,436.5166666666667,436.5166666666667,0.0,0.0
0000530597-1,14.0,3BNEBL23,2025-02-01,0.5323094735408295,0.60760743717224,0.87607465112369,0.07529796363141047,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,SI,"BEER EMD BRAU 4,5º 33CL L P12 P",15.73,15.73,0.0,0.0,40.78611111111111,4298.75,1302653.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,943.8000000000001,943.8000000000001,0.0,0.0
0000541563-1,14.0,3BNEBL23,2025-02-19,0.49958251369213574,0.5567569097521972,0.8973081518009202,0.05717439606006142,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,SI,"BEER EMD BRAU 4,5º 33CL L P12 P",8.096666666666666,8.096666666666666,0.0,0.0,19.628055555555555,1941.58,588357.0,1,Contenido,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,485.79999999999995,485.79999999999995,0.0,0.0
0000552237-1,19.0,3BNEBL23,2025-03-15,0.48962883479642105,0.8349316052282502,0.5864298724954463,0.3453027704318291,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,SI,"BEER EMD BRAU 4,5º 33CL L P12 P",5.268888888888888,4.198333333333333,0.06111111111111111,1.0094444444444444,33.88638888888889,4781.01,1448790.0,1,Volumen Envase,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,316.1333333333333,251.9,3.6666666666666665,60.56666666666666
0000555481-1,19.0,3BNEBL23,2025-03-22,0.4735354940248522,0.8626832348150724,0.548910045906202,0.38914774079022013,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,SI,"BEER EMD BRAU 4,5º 33CL L P12 P",10.386388888888888,10.043888888888889,0.035833333333333335,0.30666666666666664,76.19972222222222,10673.6,3234438.0,1,Volumen Envase,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,623.1833333333333,602.6333333333333,2.15,18.4
0000558481-1,19.0,3BNEBL23,2025-03-28,0.46437019221212905,0.7456319942753782,0.6227873747067605,0.28126180206324913,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,SI,"BEER EMD BRAU 4,5º 33CL L P12 P",2.904166666666667,2.904166666666667,0.0,0.0,13.974722222222223,1927.37,584050.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,174.25,174.25,0.0,0.0
0000562913-1,14.0,3BNEBL23,2025-04-04,0.32753684789538823,0.6320211023740171,0.5182372023103093,0.30448425447862887,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,SI,"BEER EMD BRAU 4,5º 33CL L P12 P",8.015555555555556,8.015555555555556,0.0,0.0,22.219722222222224,1441.04,436679.0,1,Contenido,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,480.9333333333334,480.9333333333334,0.0,0.0
0000566285-1,14.0,3BNEBL23,2025-04-09,0.3961803021254948,0.5571627629221684,0.7110674447223214,0.16098246079667353,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",11.101111111111111,11.1,0.0,0.0011111111111111111,25.119444444444444,1970.38,597086.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0666666666666,666.0,0.0,0.06666666666666667
0000566317-1,19.0,3BNEBL23,2025-04-04,0.4710873117980458,0.7659862999408881,0.6150074901266512,0.29489898814284227,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,SI,"BEER EMD BRAU 4,5º 33CL L P12 P",1.8694444444444445,1.2408333333333332,0.0,0.0,7.988611111111111,1117.79,338723.0,0,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,112.16666666666667,74.44999999999999,0.0,0.0
0000566708-1,14.0,3BNEBL23,2025-04-17,0.5350759214860729,0.6737929555776465,0.7941251345190293,0.1387170340915736,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",23.671666666666667,22.068055555555556,1.0241666666666667,0.5794444444444444,71.83361111111111,7549.04,2287587.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1420.3,1324.0833333333335,61.45,34.766666666666666
0000570194-1,14.0,3BNEBL23,2025-05-05,0.34572672292583667,0.4866966943464662,0.7103535465554718,0.1409699714206295,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",53.246944444444445,51.44555555555556,0.005277777777777778,1.7961111111111112,104.72583333333333,7045.97,2135142.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3194.8166666666666,3086.7333333333336,0.31666666666666665,107.76666666666668
0000570195-1,14.0,3BNEBL23,2025-05-15,0.5169941432841112,0.6886998412966946,0.750681374211887,0.17170569801258348,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",32.91305555555555,31.766666666666666,0.0,1.146388888888889,104.58888888888889,10588.9,3208752.0,1,Contenido,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1974.783333333333,1906.0,0.0,68.78333333333333
0000571260-1,14.0,3BNEBL23,2025-04-19,0.5050836339783535,0.6661699488071642,0.7581903610073528,0.16108631482881058,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",12.888055555555557,12.633611111111112,0.0,0.2544444444444444,39.21388888888889,3896.25,1180681.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.2833333333334,758.0166666666667,0.0,15.266666666666666
0000574777-1,19.0,3BNEBL23,2025-05-12,0.39638179702117005,0.7004891056144021,0.5658643280019349,0.3041073085932321,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",13.879999999999999,10.928333333333333,0.0,2.9516666666666667,40.66222222222222,4439.54,1345316.0,0,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,832.8,655.6999999999999,0.0,177.1
0000576102-1,19.0,3BNEBL23,2025-05-05,0.4656881394622064,0.7410424337948558,0.6284230406043437,0.2753542943326494,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",24.96527777777778,19.135,0.6258333333333334,5.204444444444444,86.97888888888889,11310.2,3427336.0,1,Volumen Envase,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1497.9166666666667,1148.1000000000001,37.550000000000004,312.26666666666665
0000578113-1,14.0,3BNEBL23,2025-05-08,0.5736439841297426,0.7437020000517669,0.7713358093561843,0.17005801592202424,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",19.26833333333333,18.329166666666666,0.9247222222222222,0.014444444444444444,75.1375,8532.59,2585634.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.1,1099.75,55.483333333333334,0.8666666666666666
0000584177-1,14.0,3BNEBL23,2025-05-17,0.507259028940445,0.6631248505142311,0.7649525252252009,0.15586582157378617,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",16.22138888888889,15.641944444444444,0.0,0.5794444444444444,47.035,4665.88,1413902.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.2833333333333,938.5166666666667,0.0,34.766666666666666
0000598407-1,14.0,3BNEBL23,2025-06-23,0.5105089858911392,0.6461968618361753,0.7900208373660659,0.13568787594503615,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",25.495,25.448611111111113,0.0275,0.01888888888888889,75.52305555555556,0.0,2312748.0,1,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1529.7,1526.9166666666667,1.65,1.1333333333333333
0000602338-1,14.0,3BNEBL23,2025-06-16,0.393521517815826,0.5143914854234151,0.7650233897085282,0.12086996760758908,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",12.626944444444444,12.626944444444444,0.0,0.0,27.0125,2104.79,637815.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,757.6166666666667,757.6166666666667,0.0,0.0
0000625708-1,14.0,3BNEBL23,2025-08-08,0.434696180089185,0.5555794337291141,0.7824194952132288,0.12088325363992908,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",2.301111111111111,1.6430555555555555,0.12416666666666666,0.0033333333333333335,5.173611111111111,445.03,134857.0,0,Contenido,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,138.06666666666666,98.58333333333333,7.449999999999999,0.2
0000631484-1,19.0,3BNEBL23,2025-08-04,0.3252214409642955,0.48557209387270567,0.6697696285848613,0.1603506529084102,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",3.1297222222222225,2.5436111111111113,0.0,0.0,6.083888888888889,587.68,178084.0,0,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,187.78333333333336,152.61666666666667,0.0,0.0
0000636499-1,14.0,3BNEBL23,2025-08-15,0.394713059195662,0.5557033116002841,0.7102945959760234,0.16099025240462203,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",18.37472222222222,18.37472222222222,0.0,0.0,43.03055555555556,3363.01,1019093.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1102.4833333333333,1102.4833333333333,0.0,0.0
0000636500-1,14.0,3BNEBL23,2025-08-25,0.5384558392661094,0.7476207154355454,0.7202259489993108,0.20916487616943605,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",19.532500000000002,19.528055555555557,0.0,0.0044444444444444444,82.48722222222223,8793.84,2664800.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1171.95,1171.6833333333334,0.0,0.26666666666666666
0000639607-1,19.0,3BNEBL23,2025-08-17,0.5315717539863326,0.8804024297646166,0.6037826975653089,0.34883067577828397,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",6.756388888888889,4.038333333333333,0.0,2.7180555555555554,39.30138888888889,5775.74,1750224.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,405.3833333333333,242.29999999999998,0.0,163.08333333333331
0000641718-1,19.0,3BNEBL23,2025-08-11,0.4881285730953215,0.8595457550655311,0.5678913195936928,0.3714171819702096,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",6.078611111111112,3.7680555555555557,0.24472222222222223,2.0658333333333334,30.635833333333334,4141.96,1255138.0,1,Palet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,364.7166666666667,226.08333333333334,14.683333333333334,123.95
0000650273-1,14.0,3BNEBL23,2025-08-30,0.5152737707500897,0.7014983198464745,0.7345331502188905,0.18622454909638475,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",31.571388888888887,31.075833333333332,0.4905555555555556,0.005,107.5513888888889,10972.4,3324956.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.2833333333333,1864.55,29.433333333333334,0.3
0000653902-1,14.0,3BNEBL23,2025-09-08,0.5069649641198818,0.7393113429415666,0.685725938009788,0.23234637882168485,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",3.468888888888889,3.468888888888889,0.0,0.0,13.819166666666666,1387.16,420353.0,0,Palet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,208.13333333333333,208.13333333333333,0.0,0.0
0000656929-1,14.0,3BNEBL23,2025-09-30,0.472557678757055,0.6841220340875,0.6907505608810932,0.21156435533044504,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",12.269166666666667,12.269166666666667,0.0,0.0,39.81583333333333,3725.43,1128917.0,1,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,736.15,736.15,0.0,0.0
0000658139-1,14.0,3BNEBL23,2025-09-11,0.5088688922216668,0.7028643374252439,0.7239930454940597,0.19399544520357717,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",8.489166666666666,8.489166666666666,0.0,0.0,30.005,3023.22,916127.0,1,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,509.34999999999997,509.34999999999997,0.0,0.0
0000664540-1,14.0,3BNEBL23,2025-09-27,0.5630125796438491,0.7560638239939008,0.7446627675818952,0.19305124435005175,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",6.221388888888889,6.221388888888889,0.0,0.0,25.504166666666666,2843.14,861559.0,1,Palet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,373.2833333333333,373.2833333333333,0.0,0.0
0000670792-1,19.0,3BNEBL23,2025-10-05,0.5286117791971288,0.874368857811828,0.6045638227784306,0.3457570786146993,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",15.906388888888888,12.67361111111111,0.4722222222222222,2.7605555555555554,107.39888888888889,16428.0,4978195.0,1,Volumen Envase,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,954.3833333333332,760.4166666666666,28.333333333333332,165.63333333333333
0000672232-1,19.0,3BNEBL23,2025-10-13,0.4832573104178545,0.8006964242078684,0.6035462327634878,0.3174391137900138,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",17.613611111111112,12.158888888888889,1.3911111111111112,4.063611111111111,72.26916666666666,9789.41,2966488.0,1,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1056.8166666666666,729.5333333333333,83.46666666666667,243.81666666666666
0000672233-1,19.0,3BNEBL23,2025-10-19,0.3671702597182142,0.625,0.5874724155491428,0.2578297402817858,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",11.585555555555556,7.516666666666667,2.288611111111111,1.7802777777777778,27.9625,2855.17,865203.0,1,Palet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,695.1333333333334,451.0,137.31666666666666,106.81666666666668
0000676438-1,14.0,3BNEBL23,2025-10-16,0.5140109383641615,0.762820315860628,0.6738296394010492,0.24880937749646653,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",8.578611111111112,7.64,0.9369444444444445,0.0016666666666666668,36.16388888888889,3680.43,1115283.0,1,Palet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,514.7166666666667,458.4,56.21666666666667,0.1
0000677698-1,14.0,3BNEBL23,2025-10-08,0.48627212744055753,0.6866973793010345,0.7081316196888899,0.20042525186047688,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",4.708611111111111,4.708611111111111,0.0,0.0,16.460833333333333,1584.91,480275.0,1,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,282.51666666666665,282.51666666666665,0.0,0.0
0000681533-1,19.0,3BNEBL23,2025-10-14,0.5388517709817867,0.8620608501235568,0.6250739386953422,0.32320907914177005,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",3.6513888888888886,2.7119444444444443,0.21861111111111112,0.7208333333333333,21.96611111111111,3400.1,1030333.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.08333333333331,162.71666666666667,13.116666666666667,43.25
0000685978-1,19.0,3BNEBL23,2025-10-25,0.49875255500781535,0.8395605386557653,0.5940638370240419,0.34080798364795,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",2.3405555555555555,2.3405555555555555,0.0,0.0,18.482222222222223,2737.84,829648.0,0,Volumen Envase,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,140.43333333333334,140.43333333333334,0.0,0.0
0000689275-1,19.0,3BNEBL23,2025-10-30,0.4088629674043388,0.6567644173116756,0.6225412897335878,0.24790144990733676,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",1.3936111111111111,1.0702777777777779,0.3233333333333333,0.0,5.096111111111111,618.9,187544.0,0,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,83.61666666666667,64.21666666666667,19.4,0.0
0000694991-1,14.0,3BNEBL23,2025-11-17,0.5568839726994587,0.8850553071310897,0.6292081050896133,0.328171334431631,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",1.125,0.6783333333333333,0.0,0.44666666666666666,6.348055555555556,650.76,197199.0,0,Palet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,67.5,40.7,0.0,26.8
0000694992-1,14.0,3BNEBL23,2025-11-22,0.5410584047177343,0.76036825480085,0.71157416331044,0.21930985008311574,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",17.581666666666667,16.275833333333335,0.5325,0.7733333333333333,72.79472222222222,7715.63,2338070.0,1,Pack. Secundario,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1054.9,976.5500000000001,31.95,46.4
0000697558-1,14.0,3BNEBL23,2025-11-29,0.2564372766425364,0.3748740034820856,0.6840625763871914,0.11843672683954916,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",13.353333333333333,13.353333333333333,0.0,0.0,24.25111111111111,1231.37,373142.0,1,Pack. Secundario,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,801.2,801.2,0.0,0.0
0000700675-1,14.0,3BNEBL23,2025-12-02,0.5930959614235582,0.8284173055398935,0.7159386428281187,0.23532134411633523,130012PCDF0000,EMD BRAU,K013301,KR6BNEB9,LATA 1/3 SR.,NO,"BEER EMD BRAU 4,5º 33CL L P12 P",5.33388888888889,5.3261111111111115,0.005833333333333334,0.0019444444444444444,33.01,3876.27,1174627.0,1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.03333333333336,319.56666666666666,0.35000000000000003,0.11666666666666667
